,timestamp,open,high,low,close,volume
410,2018-04-30,1.61,1.65,1.51,1.51,68668
411,2018-04-27,1.6,1.63,1.58,1.61,27588
412,2018-04-26,1.6,1.65,1.58,1.59,65400
413,2018-04-25,1.6,1.69,1.59,1.6,77251
414,2018-04-24,1.57,1.69,1.57,1.59,126112
415,2018-04-23,1.64,1.662,1.56,1.58,53125
416,2018-04-20,1.6,1.64,1.6,1.64,40302
417,2018-04-19,1.62,1.6311,1.55,1.57,97596
418,2018-04-18,1.63,1.72,1.6,1.61,38164
419,2018-04-17,1.55,1.65,1.5,1.63,104058
420,2018-04-16,1.58,1.64,1.53,1.57,35566
421,2018-04-13,1.63,1.6467,1.56,1.57,41158
422,2018-04-12,1.6,1.68,1.6,1.62,63499
423,2018-04-11,1.55,1.72,1.55,1.6,109177
424,2018-04-10,1.55,1.75,1.55,1.62,50019
425,2018-04-09,1.59,1.6567,1.53,1.59,103107
426,2018-04-06,1.59,1.62,1.53,1.59,53764
427,2018-04-05,1.65,1.7,1.58,1.61,79229
428,2018-04-04,1.61,1.67,1.59,1.64,85869
429,2018-04-03,1.55,1.61,1.55,1.58,75575
430,2018-04-02,1.6,1.6,1.52,1.55,67819
431,2018-03-29,1.71,1.729,1.6,1.6252,53880
432,2018-03-28,1.6,1.68,1.52,1.58,227178
433,2018-03-27,1.6,1.63,1.52,1.6,317823
434,2018-03-26,1.88,1.88,1.59,1.66,247492
435,2018-03-23,1.9,2.02,1.784,1.86,221861
436,2018-03-22,1.97,2.0027,1.94,1.95,78923
437,2018-03-21,1.95,2.0,1.891,1.98,79957
438,2018-03-20,2.0,2.02,1.9,1.94,140678
439,2018-03-19,1.85,2.01,1.8,2.01,126366
440,2018-03-16,1.86,1.97,1.6015,1.9,617927
441,2018-03-15,1.98,1.98,1.87,1.88,194789
442,2018-03-14,2.0,2.08,1.9,1.99,199865
443,2018-03-13,2.13,2.16,1.9,1.98,460548
444,2018-03-12,2.09,2.29,2.06,2.13,224339
445,2018-03-09,2.2,2.2799,1.96,2.09,350226
